problem_id,experiment_id,subtract_lim,rotate_lim,scale_factor,is_subtract,is_rotate,is_scale,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.h_max,ic.eps_s,ic_eps.max,ic.eps_ration,ic.m0,limo.avg_length_norm,limo.length_mean,limo.ratio_mean,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
4.0,0.0,200.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.3211653993039352e-16]","[0.01, 1.0, 1.6431300764452297e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.91340127906181e-17]","[1.0, 2.2087606931995054e-59, 200.00000000000006]","[0.01, 1.0, 2.6673108166619384e-16]","[0.01, 1.0, 2.153832667772803e-16]","[0.01, 1.0, 8.129608097817706e-16]","[0.01, 1.0, 8.100291271073697e-17]","[0.01, 1.0, 9.02912727224203e-17]","[0.01, 1.0, 7.32957339266705e-11]","[0.01, 1.0, 9.599471825078035e-17]","[0.13, 0.36818778606286096, 0.0021974158603781935]","[0.01, 1.0, 0.0008008008008008069]","[0.06, 0.9942356257694902, 0.06869697964502273]","[0.04, 0.999998821968263, 0.0026026026026026066]","[0.08, 0.9084105017744525, 0.0018436873747494993]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 2.609024107869119e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 9.49240686054509e-17]","[0.01, 1.0, 1.2545520178264275e-16]","[0.01, 1.0, 7.971401316808624e-16]","[0.01, 1.0, 1.2850831510036184e-16]"
4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.13, 0.36818778606286096, 0.0018794176155461583]","[0.03, 0.9999999999962054, 0.001201201201201214]","[0.04, 0.999998821968263, 0.05661762272376295]","[0.07, 0.9684099261397212, 0.0028028028028028104]","[0.1, 0.7020569828664881, 0.001973947895791578]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 9.242606680004431e-17]","[0.01, 1.0, 1.3142265054000291e-16]","[0.01, 1.0, 8.393286066166186e-16]","[0.01, 1.0, 1.147693051706255e-16]"
4.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.9095836023552685e-16]","[0.01, 1.0, 2.2204460492503116e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 6.522675466153617e-17]","[1.0, 2.2087606931995054e-59, 100.00000000000001]","[0.01, 1.0, 2.7283730830163217e-16]","[0.01, 1.0, 2.0400348077487243e-16]","[0.01, 1.0, 9.925393840148899e-16]","[0.01, 1.0, 6.102540348051908e-17]","[0.01, 1.0, 1.0003716605089248e-16]","[0.01, 1.0, 6.231836380266035e-11]","[0.01, 1.0, 9.898555770621736e-17]","[0.13, 0.36818778606286096, 0.0017194893130547887]","[0.03, 0.9999999999962054, 0.0008008008008008067]","[0.11, 0.5830090612540064, 0.08424065416711138]","[0.07, 0.9684099261397212, 0.0036036036036036145]","[0.08, 0.9084105017744525, 0.001432865731462918]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 2.442490654175346e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 8.715250743307477e-17]","[0.01, 1.0, 1.2143064331837657e-16]","[0.01, 1.0, 9.170442183403793e-16]","[0.01, 1.0, 1.1116108034059377e-16]"
4.0,0.0,600.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 8.1712414612411515e-16]","[0.01, 1.0, 8.082423619271138e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0430946471157168e-16]","[1.0, 2.2087606931995054e-59, 600.0]","[0.01, 1.0, 3.069766663088556e-16]","[0.01, 1.0, 3.469446951953614e-16]","[0.01, 1.0, 1.1607381722456008e-15]","[0.01, 1.0, 8.401807895241915e-17]","[0.01, 1.0, 1.1601939027550126e-16]","[0.01, 1.0, 8.264628093002109e-11]","[0.01, 1.0, 1.1007152491988163e-16]","[0.08, 0.9084105017744525, 0.0012370671184170402]","[0.02, 0.9999999999999999, 0.0010010010010010168]","[0.04, 0.999998821968263, 0.05053971614111345]","[0.07, 0.9684099261397212, 0.003403403403403409]","[0.11, 0.5830090612540064, 0.0022044088176352726]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.773159728050814e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.008915173628111e-16]","[0.01, 1.0, 1.1282641487753157e-16]","[0.01, 1.0, 8.471001677889947e-16]","[0.01, 1.0, 1.1601830607332885e-16]"
4.0,0.0,800.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 7.660538869913579e-16]","[0.01, 1.0, 7.993605777301124e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.1243074884721012e-16]","[1.0, 2.2087606931995054e-59, 800.0000000000001]","[0.01, 1.0, 2.7478019859472616e-16]","[0.01, 1.0, 3.2973623831367146e-16]","[0.01, 1.0, 1.151301276536287e-15]","[0.01, 1.0, 8.39595320351049e-17]","[0.01, 1.0, 1.1706022436108743e-16]","[0.01, 1.0, 6.57151710825588e-11]","[0.01, 1.0, 9.177988230524292e-17]","[0.11, 0.5830090612540064, 0.0010100259789274169]","[0.02, 0.9999999999999999, 0.0010010010010010114]","[0.11, 0.5830090612540064, 0.08035410176611182]","[0.06, 0.9942356257694902, 0.003003003003003004]","[0.07, 0.9684099261397212, 0.0015330661322645314]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.2180482157382354e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 8.81239525796218e-17]","[0.01, 1.0, 1.197653087814388e-16]","[0.01, 1.0, 7.482903185973554e-16]","[0.01, 1.0, 1.2712053631958043e-16]"
4.0,0.0,700.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 7.638334409421078e-16]","[0.01, 1.0, 7.638334409421075e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 9.521788739419446e-17]","[1.0, 2.2087606931995054e-59, 700.0000000000001]","[0.01, 1.0, 2.5340840537069176e-16]","[0.01, 1.0, 3.5110803153770567e-16]","[0.01, 1.0, 1.0202949596305186e-15]","[0.01, 1.0, 8.705167663103363e-17]","[0.01, 1.0, 1.1722393888913277e-16]","[0.01, 1.0, 9.350058061130547e-11]","[0.01, 1.0, 9.582449850970006e-17]","[0.13, 0.36818778606286096, 0.0017177242401725159]","[0.01, 1.0, 0.000800800800800808]","[0.08, 0.9084105017744525, 0.072325445576355]","[0.03, 0.9999999999962054, 0.0020020020020020024]","[0.06, 0.9942356257694902, 0.0013426853707414743]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.717648576819558e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.135203042679223e-16]","[0.01, 1.0, 1.147693051706256e-16]","[0.01, 1.0, 8.615330671091217e-16]","[0.01, 1.0, 1.0783041126671832e-16]"
4.0,0.0,300.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 6.206146707654625e-16]","[0.01, 1.0, 6.306066779870885e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0442662630883588e-16]","[1.0, 2.2087606931995054e-59, 300.0000000000002]","[0.01, 1.0, 2.9615199181876046e-16]","[0.01, 1.0, 2.9393154576951014e-16]","[0.01, 1.0, 9.905964937217955e-16]","[0.01, 1.0, 8.699746652240932e-17]","[0.01, 1.0, 1.0397390413918738e-16]","[0.01, 1.0, 6.383936490550472e-11]","[0.01, 1.0, 9.417007375712295e-17]","[0.08, 0.9084105017744525, 0.0008158898399487824]","[0.01, 1.0, 0.0008008008008008069]","[0.05, 0.9996892272702655, 0.05801715318537306]","[0.08, 0.9084105017744525, 0.0038038038038038036]","[0.07, 0.9684099261397212, 0.0017134268537074126]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 4.9960036108132046e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0727529975440574e-16]","[0.01, 1.0, 1.255939796607209e-16]","[0.01, 1.0, 8.304468224196171e-16]","[0.01, 1.0, 1.2032042029375131e-16]"
4.0,0.0,900.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 7.760458942129842e-16]","[0.01, 1.0, 8.5265128291212e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0741251909186098e-16]","[1.0, 2.2087606931995054e-59, 899.9999999999999]","[0.01, 1.0, 2.869926518656029e-16]","[0.01, 1.0, 3.413935800722356e-16]","[0.01, 1.0, 1.3464229731141583e-15]","[0.01, 1.0, 1.0528904137441232e-16]","[0.01, 1.0, 1.1301398185337156e-16]","[0.01, 1.0, 4.742258141732239e-11]","[0.01, 1.0, 1.1410042019283776e-16]","[0.11, 0.5830090612540064, 0.001712503482113208]","[0.02, 0.9999999999999999, 0.001201201201201214]","[0.11, 0.5830090612540064, 0.10806919715818192]","[0.02, 0.9999999999999999, 0.0010010010010010006]","[0.09, 0.8154147124661313, 0.0021943887775551065]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.3845816694320085e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0075273948473299e-16]","[0.01, 1.0, 1.1421419365831303e-16]","[0.01, 1.0, 8.160139230994901e-16]","[0.01, 1.0, 1.3197776205231546e-16]"
4.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 8.126832540256146e-16]","[0.01, 1.0, 7.682743330406081e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0143314411060341e-16]","[1.0, 2.2087606931995054e-59, 400.0]","[0.01, 1.0, 3.125277814319814e-16]","[0.01, 1.0, 3.1308289294429413e-16]","[0.01, 1.0, 9.128808819980346e-16]","[0.01, 1.0, 8.12316793691314e-17]","[0.01, 1.0, 9.498478392711006e-17]","[0.01, 1.0, 7.612926289368723e-11]","[0.01, 1.0, 1.0605943478059902e-16]","[0.11, 0.5830090612540064, 0.001630840449716231]","[0.01, 1.0, 0.0006006006006005985]","[0.05, 0.9996892272702655, 0.06487569731545982]","[0.04, 0.999998821968263, 0.002402402402402404]","[0.11, 0.5830090612540064, 0.00193386773547094]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.995204332975843e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 9.603429163007609e-17]","[0.01, 1.0, 1.1948775302528251e-16]","[0.01, 1.0, 8.437694987151191e-16]","[0.01, 1.0, 1.24761312392252e-16]"
4.0,0.0,1000.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 7.527312106958561e-16]","[0.01, 1.0, 7.771561172376096e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.1043419054657805e-16]","[1.0, 2.2087606931995054e-59, 1000.0]","[0.01, 1.0, 3.164135620181695e-16]","[0.01, 1.0, 3.363975764614224e-16]","[0.01, 1.0, 1.324496068377812e-15]","[0.01, 1.0, 8.625695643860172e-17]","[0.01, 1.0, 1.1423045669090028e-16]","[0.01, 1.0, 6.34999874904452e-11]","[0.01, 1.0, 1.0293530622058208e-16]","[0.08, 0.9084105017744525, 0.001397170227066524]","[0.03, 0.9999999999962054, 0.0012012012012012217]","[0.06, 0.9942356257694902, 0.06868019383042734]","[0.06, 0.9942356257694902, 0.0028028028028028026]","[0.1, 0.7020569828664881, 0.001753507014028061]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.662137425588296e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0061396160665484e-16]","[0.01, 1.0, 1.2212453270876723e-16]","[0.01, 1.0, 7.616129948928574e-16]","[0.01, 1.0, 1.1018963519404678e-16]"
4.0,0.0,500.0,0.0,1.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 7.960299086562372e-16]","[0.01, 1.0, 7.8159700933611e-16]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 1.0432193303655527e-16]","[1.0, 2.2087606931995054e-59, 500.0000000000001]","[0.01, 1.0, 3.1780134079895094e-16]","[0.01, 1.0, 3.563815909046753e-16]","[0.01, 1.0, 1.3233858453531864e-15]","[0.01, 1.0, 8.621900936256472e-17]","[0.01, 1.0, 1.0397065153266996e-16]","[0.01, 1.0, 1.0448323539691282e-10]","[0.01, 1.0, 1.0201698698048677e-16]","[0.1, 0.7020569828664881, 0.0014754972115278066]","[0.01, 1.0, 0.0008008008008008099]","[0.06, 0.9942356257694902, 0.0576406003328771]","[0.04, 0.999998821968263, 0.0026026026026026074]","[0.09, 0.8154147124661313, 0.0020040080160320635]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, nan]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 5.606626274357042e-17]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[0.01, 1.0, 9.617306950815422e-17]","[0.01, 1.0, 1.1296519275560969e-16]","[0.01, 1.0, 6.861178292183469e-16]","[0.01, 1.0, 1.1879386363489178e-16]"
